Date,Close,Volume,Open,High,Low
11/07/2024,4920.87,335260,5013.22,5017.02,4913.04
11/06/2024,5001.19,272538,5036.64,5060.50,4942.13
11/05/2024,4914.98,385379,4770.00,4916.01,4770.00
11/04/2024,4776.46,199990,4771.99,4825.00,4728.25
11/01/2024,4749.11,519752,4669.00,4790.115,4669.00
10/31/2024,4676.25,514024,4734.00,4856.60,4643.83
10/30/2024,4463.93,320696,4385.00,4477.88,4385.00
10/29/2024,4427.54,201922,4332.21,4440.87,4332.21
10/28/2024,4347.59,215265,4379.99,4379.99,4320.075
10/25/2024,4347.82,149588,4375.00,4375.00,4334.16
10/24/2024,4338.73,159764,4300.08,4341.29,4289.33
10/23/2024,4313.01,177876,4354.10,4370.34,4270.60
10/22/2024,4377.78,124304,4331.73,4395.00,4330.84
10/21/2024,4363.72,132309,4323.23,4376.11,4323.23
10/18/2024,4350.82,146110,4370.77,4377.77,4334.50
10/17/2024,4370.77,148699,4360.00,4394.95,4357.015
10/16/2024,4337.27,124034,4300.41,4355.92,4278.85
10/15/2024,4307.77,182771,4278.35,4371.17,4274.51
10/14/2024,4297.72,139769,4297.42,4318.19,4284.10
10/11/2024,4284.73,125027,4300.00,4328.54,4277.86
10/10/2024,4288.22,124446,4289.00,4308.00,4267.24
10/09/2024,4292.00,153941,4229.00,4304.77,4227.27
10/08/2024,4233.18,160898,4180.00,4260.00,4180.00
10/07/2024,4169.82,184450,4175.87,4256.28,4159.46
10/04/2024,4187.70,167629,4164.76,4196.80,4134.3247
10/03/2024,4104.12,120684,4080.00,4113.54,4060.98
10/02/2024,4125.01,164551,4100.99,4128.64,4072.24
10/01/2024,4100.99,238540,4228.00,4228.00,4085.20
09/30/2024,4212.12,217846,4220.15,4228.365,4183.13
09/27/2024,4248.10,162713,4269.01,4270.99,4231.06
09/26/2024,4268.94,214007,4210.29,4272.88,4196.89
09/25/2024,4175.70,196707,4177.56,4181.11,4148.83
09/24/2024,4177.56,216040,4128.00,4182.7899,4084.90
09/23/2024,4097.08,253726,4064.01,4104.865,4030.69
09/20/2024,4064.01,443926,4009.67,4067.46,3985.57
09/19/2024,4017.51,298654,4103.76,4104.99,3997.84
