Date,Close,Volume,Open,High,Low
11/06/2024,96.73,18162860,95.80,97.32,94.76
11/05/2024,99.21,10804150,99.97,101.09,98.955
11/04/2024,98.40,8681889,98.82,99.88,98.36
11/01/2024,97.58,8501018,98.22,98.2999,97.42
10/31/2024,97.98,8379347,97.80,98.10,96.755
10/30/2024,98.70,10179900,98.215,99.80,97.58
10/29/2024,99.83,13685370,101.45,101.45,99.53
10/28/2024,99.93,16044380,99.03,101.05,98.78
10/25/2024,97.42,16977100,98.30,98.90,97.05
10/24/2024,96.36,13602870,96.79,97.41,95.52
10/23/2024,98.00,13638150,100.165,100.22,97.735
10/22/2024,100.46,20650130,100.01,101.89,99.80
10/21/2024,100.91,10328630,100.475,101.65,100.115
10/18/2024,102.43,20824610,103.365,103.365,101.66
10/17/2024,100.07,15808250,101.25,101.45,99.55
10/16/2024,102.17,16432570,102.505,103.85,101.78
10/15/2024,101.84,28942620,103.99,104.41,101.64
10/14/2024,107.81,21351600,108.31,110.08,106.92
10/11/2024,110.14,18042610,108.05,111.05,107.22
10/10/2024,109.28,19736630,108.98,110.84,107.48
10/09/2024,107.89,28793000,105.80,109.38,105.62
10/08/2024,109.68,37414360,110.10,110.76,108.04
10/07/2024,117.52,38404020,117.45,117.82,113.37
10/04/2024,114.53,25699080,115.665,115.73,113.75
10/03/2024,112.84,29266950,110.90,114.09,110.63
10/02/2024,115.25,53732820,115.31,116.57,112.22
10/01/2024,112.74,44505030,106.42,112.79,106.15
09/30/2024,106.12,58695540,111.72,112.22,106.105
09/27/2024,107.33,50075190,105.97,109.43,105.73
09/26/2024,105.07,67261620,102.69,105.97,101.76
09/25/2024,95.46,18816620,94.38,96.18,94.06
09/24/2024,97.19,47423160,96.07,97.50,94.40
09/23/2024,90.09,19744060,89.47,91.15,89.32
09/20/2024,88.29,12277040,89.22,89.52,88.05
09/19/2024,88.49,18618350,87.625,88.565,86.95
09/18/2024,84.42,7858842,84.85,85.00,84.04
09/17/2024,84.70,10113890,84.82,85.77,84.63
09/16/2024,83.60,11298240,84.035,84.38,83.26
09/13/2024,84.69,8985457,84.39,84.89,83.82
09/12/2024,85.49,10781340,85.03,85.6801,84.86
09/11/2024,84.81,11551730,83.575,84.84,83.50
09/10/2024,83.80,15327770,83.80,84.30,82.715
09/09/2024,81.44,10434430,80.93,81.625,80.3199
09/06/2024,81.18,11712670,82.12,82.62,81.17
09/05/2024,82.43,8461044,82.105,83.01,82.00
09/04/2024,82.47,11114070,82.87,83.40,82.30
09/03/2024,82.27,11638190,81.78,83.02,81.70
08/30/2024,83.34,20027300,84.72,84.75,82.58
08/29/2024,81.02,14154160,81.24,81.465,80.46
08/28/2024,79.62,14024410,81.125,81.2799,79.205
08/27/2024,81.45,9026068,82.27,82.65,81.27
08/26/2024,81.76,29321680,81.89,82.305,80.3703
08/23/2024,85.41,17318000,84.90,85.79,84.36
08/22/2024,82.96,9728952,83.50,83.79,81.83
08/21/2024,83.53,14689960,81.85,83.80,81.71
08/20/2024,81.04,17880060,82.46,82.60,80.775
08/19/2024,83.91,14750990,83.98,84.90,83.49
08/16/2024,83.18,25249170,82.05,84.16,81.98
08/15/2024,79.54,31619350,77.90,81.88,77.74
08/14/2024,79.47,18058090,80.55,80.98,78.07
08/13/2024,81.10,9365727,80.965,81.40,80.68
08/12/2024,80.91,12127710,80.59,81.50,80.23
08/09/2024,79.99,7755860,79.97,80.22,79.195
08/08/2024,80.31,14004330,78.85,80.31,78.75
08/07/2024,77.83,9693911,78.92,78.94,77.46
08/06/2024,77.90,12128910,76.51,78.85,76.51
08/05/2024,76.98,16143260,74.03,77.255,73.87
08/02/2024,77.45,10808670,76.79,77.47,75.765
08/01/2024,77.98,8559620,78.77,79.36,77.84
07/31/2024,78.85,12178630,79.33,80.015,78.34
07/30/2024,78.00,8431939,78.22,78.79,77.70
07/29/2024,78.62,17364100,78.46,79.40,78.205
07/26/2024,76.53,10884540,75.26,76.77,74.55
07/25/2024,75.40,8172638,75.37,76.215,75.13
07/24/2024,75.80,7924719,76.15,77.06,75.72
07/23/2024,76.10,7997090,75.675,76.32,75.44
07/22/2024,76.64,9166842,76.83,77.19,76.26
07/19/2024,75.27,7557264,75.66,76.045,75.18
07/18/2024,76.54,11108630,77.36,78.32,76.3649
07/17/2024,77.04,10815550,77.86,77.95,76.49
07/16/2024,78.38,12304470,77.29,78.58,76.98
07/15/2024,78.01,12614930,78.09,78.60,77.45
07/12/2024,79.65,14857250,80.30,81.01,79.425
07/11/2024,78.52,18896930,77.66,78.83,77.4224
07/10/2024,76.01,12235170,75.28,76.655,75.25
07/09/2024,75.70,14516560,74.01,76.06,73.97
